Review,Actual,Predicted
this runs super big and it just wasnt flatteringway too much fabric i wanted to love this dress,Negative,Neutral
i took this too to the register thinking it was marked down to same price as another tee by the same brand it wasnt so i ended up paying way too much for a thin tee will probably return,Neutral,Negative
i fell in love with this dress but when i received it in the mail i was really surprised to see that unlike the picture online the slip underneath is a nude color it fit well and i decided to keep it i wore it for the first time today and felt great in it i was driving with my son in the back seat i turned to hand him something and the entire right side of the dress where the crocheting is ripped open i cannot believe how poor the quality is at this price,Negative,Positive
i agree with the other reviewers i ordered  of these but had to return both because the zippers didnt work when i returned them the saleslady said many people had problems with them,Positive,Neutral
the color and fabric of this item are so appealing and i think this is a great piece for the right person the fabric is beautiful but also much thicker than id imagined from the photos it has a quilted quality so doesnt drape very well and is just too much fabric for me around the arms i typically wear a size  and ordered the large i think a medium might have been better havent decided yet whether to exchange for m or just plain return has an artsy cool professor vibe that i like,Neutral,Positive
"as you can see there is an array of differing opinions on here and i share sentiments on both

pros
 the texture and feel of this is great it is very comfortable and is different
 tts for the most part i normally can wear sizes  and  m and l with most retailer and got the medium and the fit was overall fine but more snug at the hips if youre more slimstraight itll probably fit you like on the model 
 good length not too short or too long
 the mock collar is ni",Neutral,Positive
beautiful color and softness very warm but the front is way too much material it just wasnt flattering the way i wanted it to be perhaps on a taller woman this would work,Neutral,Negative
this beautiful blue sweater was exactly what i wanted,Positive,Negative
the beadwork is gorgeous but the sleeves are so puffy it looks as though youre wearing shoulder pads the fabric of the shirt isnt that fabulous either,Negative,Positive
this romper was so cute and with the great reviews i thought i needed to try itbut once trying it on i realized it was an odd fit there is not enough fabric to make it look as relaxed as it does on the model also the sleeves were a bit wider than they look in the picture would probably work well for someone with a petite figure,Positive,Neutral
im  and this top was too long for me its pretty but expensive for what it is,Neutral,Positive
this shirt seemed to run really small especially in the chest im debating exchanging for a new size bc this was really cute but im not sure if i need to go up  or  sizes it was so tight,Neutral,Positive
the models pose and description are misleading this top has absolutely no shape to it the front of the shirt is kind of like a slub shirt texture plain black the back print is nicejust more faded than shown in picture the entire design has no form it is huge also cheaply made,Neutral,Negative
nice fabric very versatile but the knit top and style accentuates your bust probably not an issue for most but if your a d or up its more attention than you may want,Neutral,Positive
wish this worked for me i am  it is much shorter than it looks in the photo and the pockets did not hit my hips or torso in the right spot the neck was kind of tight on me too i love the idea of this dress but need it longer the dress is very roomy overall,Neutral,Positive
i found the dot print in the store and though the pattern was cute but when i tried it on i just had to wonder  who actually looks good in this style it fits like a sack big and puffy in the middle but tapered at the hem it creates the exact opposite on an hourglass shape genuinely puzzled that anyone would look good in this style to bad i hope they use these cute colors and prints on a style with some waistdefinition next time,Neutral,Positive
guess i shouldve looked at the pictures more closely i ordered the white version and in the pictures you cant see that the sleeves are split  and it barely shows in the picture for the blue version it also wouldve helped if the detail of the sleeves were noted in the item description anyway i will be returning this top because i dont like the way the sleeves look each time i bend my arms looks a bit piratelike to me,Negative,Neutral
so i want to start off by saying the quality of this shirt really was great as was the pattern unfortunately if youre going off the picture know that they definitely pinned in the sides on the model this shirt has a full on triangle shape and flares significantly towards the bottom its not a straight fit as the picture would suggest im sure this works for some women but if youre muscular with an already vshape to your body meaning your shoulders are significantly sized and you have,Negative,Neutral
i ordered this in both the white and navy colors  navy being what looks like an ivory background with navy spots when i received the blouse the background on the navy is actually a light greybeige color that makes the whole top look kind of dingy when ordering the navy version be aware that the product images dont show the true background color on the top,Neutral,Positive
i cant decide on these pants after trying them on in the store they are very soft and a beautiful blue color however i found them a bit small i usually take a l in retailer pants and these are very tight probably could pull them off with a tunic top however in spite of the fabric the fit was just not comfortable for me a good alternative for denim if you are slender rather than curvy,Positive,Neutral
this shirt had everything going for it  the cut the length the fun texture but when i stepped into the light it was totally see through i dont want to have to wear another shirt underneath this one is going back definitely not a swing but still cute,Neutral,Positive
i agree with the other reviewer the concept of this is fantastic but sadly did not work for me first of all it runs so small i normally wear a  and ordered a  and i still had a hard time closing over my ddd chest but i am abnormal anyways the peplum i wish was a little more subdued like in the photo maybe its because im so curvy but it just didnt work for me sadly its going back,Positive,Neutral
i wanted to love these jeans but as a woman who is almost  there was way too much stretch in them i am always a size  and i couldnt wear these they were way too tight they went back the next day i will say it could be my body type im a runner so my legs are muscular if you have very thin legs these could be great and work for you i loved the color dark blue,Negative,Neutral
the fabric is thin though you better wash it in a bag or the washing machine will tear it up,Positive,Negative
this top is very nice good quality good design it just doesnt fit me well i have a large chest and this is a tad fitted at the top especially around my shoulders while the lower half fits due to the pleats the fit seems inconsistent at the top and bottom i am fullfigured perhaps it would fit a leaner person better,Neutral,Positive
im a bcup who hates traditional underwire bras so i was excited to try this one out while i appreciate that this bra has more structure and support than other wireless comfy bras the cups provided too much coverage for my style if you want to wear a shirt with a wide neck or do a cute offtheshoulder thing with your shirt the top of the cup shows bummer,Neutral,Positive
fits large wrinkles easily and not what i expected for the price,Negative,Positive
im keeping this dress but its going straight to the dry cleaner because right out of the bag it has a very strong chemical smell like it had been stored in a gas station then im replacing all the buttons the fabric is a thick eyelet folded over with these teeny thin shell buttons that are a complete design fail two were broken right out of the package also im a size  in most retailer dresses and this dress has plenty of room in the waist almost too much space but the top i hav,Positive,Negative
the pink version of this top finally arrived  nearly  months after ordering  the expected delivery date kept slipping  the color is not as shown online  online it looks like a light pink  the actual top was more of taupe color  its a basic tee with pretty ruffling at the bottom  not enough to keep,Neutral,Positive
i ordered a size  in the orange it ran a size smaller than normal size  maeve tops the quality of the material was terrible it wrinkled and was also so thin that you need to wear a tank underneath that messes with the look of the lace on the top the color of the orange was gorgeous,Negative,Neutral
i loved the way this shirt looked when i tried it on in the store buto when i got home i realized its extremely sheer you cant wear a white bra with it for example because it will show through taking it back,Negative,Positive
i tried this dress on in a  and a  a  is a little small for me but it looked so loose and flowy i thought sizing down would be a good idea the  fit in the outer layer however as the previous poster mentioned the lining is super tight i couldnt even pull the  lining down over my hips the  was far too big in the shoulders and arms and still too tight in the lining not sure what when wrong here but its a shame because its a really cute dress,Negative,Neutral
i love tunics and really wanted this to work i got this in a size s and it is absolutely gigantic everything else about it is great and i still havent decided if i will try to swap it for an xs which is definitely not my usual size which is usually m but often s at retailer the pinkred color was quite pretty if you have broad hips fear not  you can size down and this top will still be generous around your hips basically if youre deliberating between s and m for this top get,Neutral,Positive
i thought the dress was ok but was surprised by the cut away triangles of material right under bra band on the sides of dress i will send back also a bit too high waisted for me other than that the dress is as it appears,Negative,Neutral
runs small arms very short and hits in the wrong place across your chest would not recommend,Negative,Positive
i loved this dress especially because each flower appliqu was so beautiful however each attached to one another by single threads given that i wear lots of rings i could already tell that i might snag these beautiful flowers additionally the appliqus are sewn so close to the back zipper that some of the flowers were already getting damaged from the dress being tried on overall if you are very careful this is an amazing dress but i did return it because of its delicate nature,Neutral,Positive
i ordered this in an xs which is my normal size in retailer tops the stitching and detail on the straps is beautiful but they were also somewhat tight across my bust and across my back it puckered in a strange way that wasnt flattering back it goes unfortunately,Neutral,Positive
loved the design and quality of this suit but the cups seemed huge i weight lbs  and wear a c i bought a large in this suit because other reviews said it ran small normally i wear a size medium i did like how it fit everywhere expect the chest im wondering if the medium will still be too large in the chest and hoping the rest would still fit okay not sure i want to go through the hassle to exchange and it not fit again its so cute otherwise and would be perfect if you have a la,Negative,Neutral
i was looking for a shirt of this style i thought it was very cute but it is not red as advertised it is really a brick orangey color which is definitely not what i wanted very disappointed sent it right back,Neutral,Negative
i found the color to be a bit blah and the sweater is chunky and is a tad too short for wear it lands also because of its chunkiness it doesnt tuck in as nicely to a pair of jeans as it appears to on the model,Neutral,Positive
i was so excited to try these its hard to find cute bermuda shorts the legs were so wide my husband asked if i was wearing his shorts they dont look that wide in the picture i am  and  lbs i bought my regular size  but the waist was huge i could have sized down one or two sizes unrolled they came to my knee,Negative,Positive
im sure theres someone out there who will look good in this but it certainly wasnt me admittedly im a less than ideal body type at a curvy  tall still for a taller person this shirt runs short for a curvy person this does nothing to accentuate a waist for a short person this pattern is very busy even if the colors are beautiful for a busty person the gathers around the chest make for a very frumpy look and even for a short and thin person this shirt runs too big to get a good fit c,Negative,Neutral
i am  and the neckline barely covers my bra  would have to wear a cami with it the fabric is soft and the colors are very pretty but the neckline is too low for me for a casual top,Neutral,Positive
love the top but very small to the size ordered a medium and had to send back in exchange for xlarge,Negative,Positive
i was very excited to receive these pants and wished they had worked out as the fabric is structured and yet comfortable however while stretchy they looked very tight on the thigh and yet were too big in the waist i will acknowledge im a runner with somewhat muscular legs but was hopeful these pants wouldnt cling to them for reference im  lbs and usually wear a size  in pants,Negative,Positive
these are absolutely beautiful pants soft and wearable right away but the other reviewer is right if you are average or short these will be way too long they wont even look like cropped pants just regular wide leg jeans i am keeping them bc i love the look and i will also have them altered to be shorter its disappointing that these were designed for the statuesque instead of the other  of us especially considering the amazingly high price for a pair of jeans so i guess i am di,Neutral,Positive
i saw that there was metallic detail when i ordered it but i wasnt prepared for the entire thing to be metallic it fit tts but wasnt what i was looking for,Neutral,Positive
"when i saw this online i wondered why this dress cost so much i have been keeping my eye on it for some time loved what i saw the design and colors and details at the neckline and waist along with pockets but was skeptical i was waiting for a sale to take a dive and here are my thoughts when i got it

pros
 the colors you see online are exactly the same in person
 the jeweled neckline is lovely its one thing that drew me to it this dress had a very sophisticated appeal wh",Negative,Positive
i love this top it was cool on a summers day i did get one of the strings of the design snagged but it worked out just fine not ruined at all,Positive,Negative
bells out to much i had to send it back,Neutral,Positive
i have been eyeing this piece for months now i broke down and bought it when they finally had my size in stock i am   and  lbs and have a very small chest so i ordered an xs i think the top is too baggy for me yes the top and bottoms fit overall but it doesnt look as nice and form fitting like it does on the model it is very sheerwhich is the thing that discourages me the most i love the concept of this piece but the execution could use some work which i am willing to work on s,Neutral,Positive
these run small i normally wear  on ag stevies and paige jeans so i ordered these in  and they were very tight otherwise very well made and super cute but i had to return them,Neutral,Positive
i should have known with the combined sizing but this is very wide even in the xssm its a beautiful sweater a thicker gauge of yarn than it appears to have and the pointelle holes are also larger than they appear it is fairly itchy if you dont mind that just way too big for my small framealmost falling of the shoulders which is not the look i was going for if you want a wide and boxy look or have a larger frame this could be great for you it is pretty and quite unique,Positive,Neutral
i got this jacket thinking it was going to look different on me while i ended up returning it it fit me nicely and was good quality it just wasnt the look i was going for,Positive,Neutral
it was quite a bit shorter on me than what it shows on the model who is the same height the pullon styling is a fail as i could barely get my head through the neck opening i was afraid it might rip a seam the fabric seems low quality like it would stretch out and degrade faster than others overall not the dress or quality i expected ,Negative,Neutral
really liked the color but the style was too cropped and boxy for me this sweater was short wide and unflattering however i like this designer so i ordered another style with a different silhouette,Positive,Neutral
i have a holding horses dress similar to this one from about a year ago  i loved the swinging fit without it looking like a maternity dress   the fit and style of this dress is wonderful its the color that killed it for me   i ordered the orange because i liked the photo on the model  when the dress arrived in the mail i could hardly take it out of the package and try it on   the color is almost neon orange   too much for this redhead  hard to wear that bright neony color  not sure,Negative,Positive
wish someone warned of the navy one being not as pictured i ordered the navy because the crocheted part appeared to be more intricate than the ivory in reality the navy knit is just like the ivory it seems well made but very delicate im not a fan of tops especially pricey ones that require a camisole but this top is a very retailer piece so most likely i will keep it just a bit disappointed,Neutral,Positive
i got this in the green color its a beautiful color soft to the touch i agree with other reviewers that it seems very delicate i dont mind drycleaning my sweaters so thats not the issue the problem is that a it runs huge  i got the small and it swims on me i tend to run between small and medium in tops  very unusual to have a small be so big on me and b the slits go even higher than they look on the model  they come up to the top of my waist even with highwaisted pants the sli,Neutral,Positive
this jacket is very cozy but i had to send it back i think it will be great on a taller person,Neutral,Positive
i was so excited to order this beautiful coat  it does seem well made and is very soft  unfortunately the fit is completely off and is overall large  i ordered a small as this coat appears slightly more snug on top aline on the bottom with three buttons  i am  and weigh approximately   i was expecting this coat to be bodyskimming  instead it was overall large and the bottom of the coat awkwardly flared  the  pleat on the back is unflattering  sadly going back,Neutral,Negative
originally bought the plaid version and retuned it to order this one in the store to get free shipping the fit is completely different i am a consistent small particularly in dresses of this style will be exchanging this for a medium which i hope will fit love the color and pattern,Neutral,Positive
for starters the back pictured on the website is not true to the actual back of the shirt the small traps are not there and it isnt gathered in the exact same way the big bow is adjustable and overall i really loved the fit of the top but the difference in design is not something i would expect from retailer my shirt also got a hole in it along the seam in the back after washing once although i liked the look of the top the quality is not what im used to from retailer,Neutral,Negative
dress is pretty i was disappointed by the slip which is too small like previous customer i am an inch taller than the model and i feel more comfortable it being a tunic with leggings nice but not nice enough to keep i am returning ,Negative,Positive
i read all the reviews about the fabric being see through but liked the dress enough to give it a shot it is soooo see through this trally could only be worn on a beach very disappointed,Negative,Positive
i really liked these jeans initially but by the end of the day the waist is really baggy the fabric stretches with wear and takes a wash to get back to its original shape,Neutral,Positive
love the design and the gold color but the seams between knit and lace were a little weird and bunchedwerent smooth maybe the one i tried on just needed to be ironed or something,Neutral,Positive
the dress is too loose and runs too big,Negative,Positive
the dress is really frumpy standing up something about the bottom tier of lace just turns it into a frumpy mawmaw nightgown the lace is really pretty though,Negative,Positive
i absolutely love the look of this shirt with the built in layering piece the overall garment is lightweight and not too heavy even with the added layer however this runs really large in general this brand runs large for me and i would say that if you are used to this brand you can stick with your normal sizing for this brand however compared to other brands it runs very large i think it would work fantastic for me in a different size it is not at all fitting so it would be more like a,Neutral,Positive
the design of this sweater is odd it made me feel very round when i put it on the sleeves were wide the other reviewers were correct in saying that its a thick sweater which i thought id like the torso was slimmer and longer than i expected it really was the odd design of the sleeves that made me not like this sweater,Negative,Neutral
very pretty top but like the other reviewers saidthe neck is very itchy i live in florida and i dont think i can wear this during the summer unless i get the neck lined i got an xxs p which was a little shorter than i would have liked so i am returning for xxs,Positive,Neutral
the front material is soft and cozy but i was surprised to find that the back and the arms were a waffle knit like long john material very thin and tight in the arms cannot wear a shirt underneath it only tank top other than that its a great deal,Positive,Neutral
if these jeans work for you youre a lucky girl the fabric is really thick and soft pocket detail is cool and the hidden multicolored button placket is a nice detail i ordered down a size theyre tight across my thighs and seem shorter than a  inseam the fit is boxy and not flattering on me but pants are so cute i may keep them anyway,Negative,Positive
i really wanted to love this top love the mix of fabrics and patterns but it is too short for a tunic length i should have paid attention to other reviews im about  and was not too tight in the bust and shouldersi have to return because the length isnt right,Neutral,Positive
this dress pattern and material are great  its just way too big i even tried an xs and it looked like a huge sack on me too bad it had some real potential,Neutral,Negative
on a hot summer  degree day the blue ink on the dress stained the dress and my new tory burch bag i would never have expected that the blue print would bleed all over me and my new dress great dress and such a wonderful fittoo bad its unwearable now,Negative,Positive
i was sad that this was only online because i wanted to try on the xs and small to compare i usually wear an xs in most antrho clothes and i decided to get an xs because i was afraid the peplum part would be large however when i got it in the mail the xs is too small i tried to get it in a size up but i couldnt find it its a cute shirt but it runs small even the length of the shirt is shorter than i would have liked if they had the correct size i would have gotten it but this shir,Positive,Neutral
this dress was so lovely in person but when i put it onooh la la it is short i am   and i would not walk outside in this dress without something underneath it just needed one more tier and i would have kept it for sure too bad,Neutral,Positive
"i wish i had read the reviews before purchasing online i love how this top looks online but when i tried on the small that i ordered it was comical so so boxy literally shaped like a square it must be pinned back on this model maybe if i ordered an xxxxs it would have workedor perhaps for a larger person it may look super cute
just didnt work on my slim build ",Negative,Neutral
i love the look of this sweater but just bought and put on at home and noticed  pea sized holes in fabric near arm holes but not on seams not sure if i bought this way and did not notice or if fabric is just incredibly delicate will try to repair but scated this will not hold up look it over carefully before you buy they kind of look like moth holes,Negative,Neutral
im a short girl but i usually wear tops in a small or medium at retailer for me i would have needed this shirt in a size at least one notch smaller than even offered this shirt is adorable love the details i wanted it so bad which is why i paid so much for a basic tshirt still it was large to the point of frumpiness and could have used some sort of scoop or vneck to break up the dots,Negative,Positive
i really love the fit of this dress i said it runs true to size and it really doeseven with the stretch fabric around the back and adjustable straps i would not recommend sizing down as i normally do at retailerthere is no stretch to the actual fabric on the dress id never bought anything by this brand before and i would say that the fabric is quite thin for the price of the dress and it is not lined im still hoping its not see through however for me the style makes up for,Positive,Neutral
much softer fabric than i expected wrinkles easily,Positive,Neutral
the design is gorgeous the fit is great and the fabric drapes beautifully and is very comfortable however its extremely see thru,Negative,Positive
this is a darling little sweater it is well made and the fit is true to size however its just not long enough on me to be a top which is what i was hoping for  i thought it would be pretty with some high waisted trousers in a sort of s style but its way to short on me for that even with my highest waisted pants and skirts it shows skin  i think it can really only be worn as a shrug over a dress or something  that explains why the model looks hunched over in some photos  im still,Neutral,Positive
absolutely love these pants i have had these pilcos for about two months now and it has been a staple in my fall wardrobe i have worn them at least once a week the only downfall is the button has already fallen off and the seam in the knee has recently torn apart given the leather im not sure if they can be fixed these are fabulous but the quality is just not there very disappointing,Neutral,Positive
"this dress looked great on the hanger but once on it did absolutely nothing for me

navy is one of my most flattering colors but the navy in the dress did not make up for the yucky second color that was so blah it just reminded me of dirt that second color made me look drab

i am  with a long torso and wear a size  in tts tops and dresses but the waist on this dress hit at an uncomfortable spot between by waist and ribs i really needed the waist to be dropped further or higher",Negative,Positive
i was so excited about this dress but when i got it there were several issues i had with it the neck is just too high for me and the skirt is too pleated and makes my hips look wide i was hoping for more of an aline cut gorgeous though wish it worked,Positive,Neutral
very cute top and nice material but the fit is strange theres a reason that the model has her arms at her side the shoulders fit perfectly in my usual small but the body is very loose the sleeves are full probably twice as full as seen in the pictureswhich adds interest but was unexpected also the arm hole is wide so the bottom seam of the sleeve attaches low on the body of the shirt which creates an awkward silhouette i normally love designs by whit but im not sure about this one,Neutral,Positive
this is a beautiful lined jacket with a much more structured fit than a typical kimono it hit me at the high hip not low hip as shown on the model given how structured it is i dont think the one size will work for anyone larger than a small if you want a drapey kimono fit,Neutral,Positive
i really wanted to love this but it was just too voluminous to be flattering i am typically a size  or  in dresses and jumpsuits and the medium was billowing around me alsothe elastic waist hit me low and bunched in an unflattering way it had to go back,Negative,Neutral
so much right but thentoo short,Negative,Positive
 c  jeans  dress ordered a small and a medium never tried on the medium the small was a little big in the waist but what threw me for a loop was the chest huge could work if its meant to be blousey but the armholes were massive if an xs is returned i might give it a shot but i cant imagine what women who are smaller than me are going to do in this jumpsuit great color transitions into fall easily cannot be belted or wear a camisole due to the opening at the stomach sh,Neutral,Negative
i bought the xs regular and it was a little too long and wide i was unable to find a petite version in the store or online the ruffles were also bigger than how they appear on the model i am  tall and weigh  lbs i believe the petite would have been a much better fit i regret not discovering this top sooner when more size options were available,Negative,Positive
this bra runs very small and is hard to get on and off i think if i went a size up i would be happier,Negative,Positive
cute shirt it looked big so i ordered a size smaller worked fine would have liked the option to go even smaller so i would suggest ordering down ultimately too baggy on my frame so sending back fun shirt though,Positive,Negative
i love everything by cloth  stone so was excited to see that they made a dress hooray i ordered it in the xl which is my usual size in their shirts when i tried it on i was so sad to see that it barely fit around my tummy and hips i am a true size  and the xl just barely gave me enough room to move my chest also caused the dreaded button gape it is clear that they cut the dress for people with a stick straight figure so disappointing,Negative,Positive
ditto what the first reviewer said unfortunately i was so looking forward to receiving this dress but the one received is not the one in the photos the graphics are fantastic  still love the boats but the top is not the same and theyve added a fabric belt to the finished dress the fit was perfect except for gapping under the arms similar i suspect to what the first reviewer reported i was also surprised by the fabric based on the photos i was expecting something light and semi trans,Negative,Positive
three strikes and retailer is out for me i am so disappointed i really liked this dress and was looking for a fun distinctive new shift dress got it tried it on took it off went back to look at the listing onlinenowhere does it mention that it has a dropseam in the shoulders i guess you can see it if you zoom in closely on the image but its not mentioned in the text who on gods green earth actually looks good with a dropshoulder it hits every woman under  right in the middl,Negative,Positive
love this top its pretty unique and well made i did size down to a small for reference and still have a slightly oversized look,Negative,Positive
"i am a dd  in tops and  in bottoms

i tried both the navyred pattern and the green polka dot color and patterns on both are gorgeous the fabric is very comfortable and a nice fit on the bottom half size large fit perfectly in the waist however i had gapping across the bust size xlarge fit ok in the front of the bust but was loose in the back gapping at the neck and the waist was very loose cute and comfy but only recommended for smaller busted gals",Neutral,Positive
i love ag jeans i own several pair and i think they wash well and wear well that being said id never purchased a pair of the stevie cut before they have the same quality one would expect from ag and i like that the ankles arent true skinny jeans but have a little width its more ontrend for this season for me the issue was more with the color i order pink when they arrived they were beautiful in the little plastic bag my heart skipped a beat hooray cute new jeans except w,Neutral,Positive
theres a reason the model is holding her arms up in all the frontal views it hides the very weird wide top part of the sleeve that absolutely destroys and distorts an otherwise beautiful blouse the print is lovely but the fit is very odd its pulls at and is very tight through the bust too i wear medium or large and ordered size large if youre less well endowed this might be an okay choice for you but i have to say this blouse made me look overweight and very wide returned,Negative,Neutral
i wanted this dress so much i ordered it twice both times the zipper was defectiveit would get stuck midway up at the waistlineso i had to send it back there isnt an retailer in my area this is a shame because its got great colors and looks flattering on and i was looking forward to pairing it with a cardiganboots for fall i even thought about taking it to a seamstress to have the zipper replaced but the cost didnt seem worth it too bad as it seems like it would be a nice,Negative,Neutral
these run very large  i wear a  or  in paige jeans and the  in these shorts were way too big  i fear if i got the  they would be a little short,Neutral,Positive
i was very excited to receive this dress i ordered my normal size small which i should have realized was a mistake you could fit two of me in that size small i realize the dress is supposed to be flowy but it would have been baggy on me at nine months pregnant the fabric is soft and comfy and the pattern is cute but order at least one size down im going to exchange for the xs in hopes of it not resembling a short muumuu,Positive,Neutral
i was so smitten by this shirt when i saw it online i love embroidery and purple is my favorite color i am a size  and decided to order an l the shoulders fit well but the rest of it was hugelike another reviewer saidlike a maternity top i would also concur with the reviewer who said  what takes away from the lovely purple flowers is the blotchy moss dye finish on the fabric this is so true the embroidery does not stand out  is not highlighted like in the photograph they hav,Negative,Positive
i wanted to love this dress and i did until i turned around the back seam didnt hang right it pulled towards the knotted side across my behind i tried on two different xs that they has in store and both had the same issue one of the dresses hung much looser i had to recheck the tag because i didnt believe it was the same size disappointing because it really is pretty and showcases curves nicely,Neutral,Negative
"i had to return this blouse because it ended up been too small and super itchy im kind of busty but medium usually works and this one was super tight across my chest not comfortable at all and the fabric is kind of a sheer with the sparkly lines in silver
wouldnt recommend it",Negative,Positive
i was pleased with the fabric and lace and the arms fit me nicely the only problem was that the bottom of the sweater was very boxy and not flattering i am having the sides taken in to fix,Positive,Neutral
the top looks better on the model than inperson it fits loose and looks boxy and matronly i dont like the sleeve length or the top style it just didnt look flattering or good i am sending it back looks very boxy,Negative,Neutral
"i was so in love with this dress when i saw it in the store but so disappointed when i put it on i am  with curves and usually buy a large in dresses this dress looked like a sack on me the top was way too big and loose making the dress a boxy cut rather than a maxi cut like i was expecting the dress is lovely to look at on the hanger and feels good on but i dont think it flatters hourglass figures it was the right length for me unlike many other reviewers 
obviously based off the",Neutral,Positive
this is a very cute shirt with great details however it runs a little bit small not as full cut as it seems,Neutral,Positive
this is a very cute dress that i did not keep mainly because i did not like the neckline on me if it had been different i probably would have kept it i liked the fabric the top is a little thin but i did not think it was sheer the bottom part is sheer but there is a lining it drapes beautifully it is a little like a maternity dress but not enough to dissuade me,Positive,Neutral
the blue lace with the white top underneath is very pretty unfortunately i did not like how billowy it was below the bra line,Positive,Neutral
i was so curious to see this skirt it looks just like pic really gorgeous bold pattern and a faux suede like fabric my only problem was that i thought there was too much fabric i love maxi skirts i am quot and  lbs it was a bit long on me but just had too much fabric i have slim hips but this made them look larger skirt is almost ballroom gown like in its fullness loved it and someone else might love it but for me it was too much wish it worked,Negative,Neutral
i am all for a cute flowy tee but this one felt like i was swimming a bit if youre a true xs id skip this one however if you are able to size down i think it would look really great,Neutral,Positive
i have bought  of these but after st wash on  of them and they were in a lingere bag there are little holes on the front of each now they are bum around shirts if they go on sale i will purchase but the material needs to be better,Positive,Neutral
i knew going in that it may not fit a d cup but the fabric is beautiful so i thought id give it a try i wear a d and bought a large its got a clasp in the back so theres no adjustment on how it fits around which for me was too big the triangles did not provide enough coverage left too much side boob the fabric was very pretty in person but thinner than i expected which also made it seem less sturdy sadly have to return and cancel the backordered bottoms i would recommend to someone,Positive,Neutral
this sweater was pretty short beyond that when i raised my arms the thickness of the sweater caused the shoulders to rise up and stay there when i put my arms down,Negative,Positive
the top fits nice but after one wear didnt even washed it the fabric was all fuzzy would not recommend it,Negative,Neutral
this dress hangs like a sack it really needs a belt to give it some shape i tried to style it with one but then didnt look right either i did like the slip that came with it ill be returning it,Negative,Neutral
i love good flowy blouses and like the over sized look but this one didnt wow me i thought the quality was just ok it didnt flatter me i almost liked it but i didnt im glad i tried it on because looking at the pics online i thought id like it way more than i did just not great,Negative,Neutral
"i really like this dress but after looking at the photo it doesnt look like this well at least on me granted i am dd so that might be part of the reason but this dress is definitely trapeze style i love the look but am cringing at the thought that someone is going to think i am pregnant because of this a belt is a must plus it is the only way to achieve the look in the photos because it is a lot fuller in real life 

another nice touch to this dress is that versatility with the ru",Neutral,Positive
i am somewhere between a  and a  i have narrow hips but an average waist so i was happy to find that these worked for me in me in a  i loved the blue color as an interesting neutral they did stretch out a little with wear but i still felt like i looked good by the end of the day i typically really like cottonlinen blends as i can usually wear them out of the dryer if im going for a casual look  a few wrinkles with linen doesnt bother me but these oh my when i pulled them out o,Neutral,Positive
its not as form fitting  hourglass shaped in real life as on the model i think they must have clipped it in the small of her back so it does not look so boxy otherwise its nice,Neutral,Positive
i bought this in navy and love the multi textures and look im happy it was on sale because it is so cute but i would not have paid full price on it it runs small i plan on wearing it for casual errand days,Neutral,Positive
i like the tunic but there are no care instructions in the garment if i wash it once and it shrinks or the dye runs it will be going back please send care instructions,Neutral,Positive
"this is such a beautiful top with pretty vivid colors and soft fabric but the execution is wrong the front is fine the smocked upper portion is very flattering but then you turn around and the back fits like a cape there is a ton of fabric especially in the upper portion of the shoulders and upper back with pleats that begin under the ruffled neck and billow out i got an xxsp    lbs so couldnt size down please retailer no more billowy tops
so sad to have to return this one",Neutral,Positive
i bought this dress to attend a couple of summer weddings it seemed like it would be a nice light summer dress that i could wear all day i do think it fits that qualification however it wasnt as flattering as i hoped im generally pear shaped  small waist larger hips this dress does fit well over my hips but does very little to show off my waist overall it is just ok,Neutral,Positive
"i had a feeling this might not work for me so i decided to try it on in the store just to verify i was quite right im a tall gal with a size c and it just billowed out and made me look wider i normally wear a size m in tops and even this was a tad loose

if youre petitesmaller framed this will probably work for you if youre tall and busty this doesnt do us gals any favors in my opinion

it is a lovely top and i loved the velvet trim at the bottom the inner lining was decent",Neutral,Positive
i bought this dress online last week in large part based on all the positive reviews then i saw it in the store i didnt try it on because it was already on the way to me and i had ordered a petite anyway and the store didnt carry petites i have to say when i saw it hanging in the store i was disappointed for some reason i didnt realize it was a sweater dress and it looked frumpy on the hanger so i had resigned myself to returning it once i received it well it came today and i figured,Positive,Negative
i love the coh fleetwood jeans and since i was looking for a pair of notsoskinny skinny jeans i thought these would be great but unlike the fleetwoods which are a substantial weight denim these are very soft  too soft  and bag out in the first  minutes the style is okay but the fabric makes them unflattering maybe if youre looking for jeans you can lounge in these will be for you because they do have the comfort equivalent of sweats,Negative,Positive
i really wanted to love this shirt it looked so nice and cool for summer and i dont own anything purple the color was really nice very subtly feminine i am a little too short for this style though i am  ft  inch  lbs ordered an xxs and it was still too wide the side slits came up a little too high for my liking but i easily couldve stitched those up a bit and theyd have been fine i think this would look great on taller women but on me it looked like a dumpy sack,Neutral,Positive
when i got this top in the mail i was impressed by the colors they were very vibrant and i loved the feel of the material as well however the top did not look good on i have an hourglass figure with a dd bust and the peplum just made me look like i didnt have a waist the arm holes were also very big and showed my bra overall i think this is a very cute top but would probably be better on women with more athletic figures,Positive,Neutral
these run very small they are also short almost like a crop pant the fit was so weird that i wont even exchange for a bigger size,Negative,Positive
it doesnt work with me only because i have very skinny arm i can not handle the arm part of the dress it is still very pretty though i would keep it if i fit the arm ,Neutral,Positive
